Voltaire	Continental European Literature	French Enlightenment satirist of Candide, mocking optimism through Pangloss.
Voss	Commonwealth Literature: Australia, Canada & New Zealand	Patrick White's novel of a German explorer's doomed trek across the Australian interior.
weddings	Movements, Motifs & Common Links	Recurring event motif/common-link answerline across world literature works.
William Golding	Movements, Motifs & Common Links	English Nobel novelist of Lord of the Flies, about schoolboys' descent into savagery.
William Shakespeare	Movements, Motifs & Common Links	English playwright whose Tempest and Othello are recurring postcolonial touchstones.
wisdom literature	Classical Antiquity	Ancient Near Eastern genre of proverbs and instruction, as in Egyptian and Sumerian texts.
Yoko Ogawa	East Asian Literature	Japanese novelist of The Housekeeper and the Professor and The Memory Police.
Yoruba	African Literature	Nigerian people and language whose mythology shapes Soyinka's and Tutuola's work.
Yunior de Las Casas	Caribbean Literature	Junot Diaz's recurring Dominican-American narrator, teller of Oscar Wao's story.
zaju	East Asian Literature	Yuan-dynasty Chinese four-act variety drama form, as in The Orphan of Zhao's era.
Zakes Mda	African Literature	South African novelist-playwright of Ways of Dying, featuring the professional mourner Toloki.
Zeami Motokiyo	East Asian Literature	Master playwright-theorist who codified Noh drama and its aesthetic of yugen.
zombies	Movements, Motifs & Common Links	Figures from Haitian folklore recurring in Caribbean and diaspora fiction.
