# Mineralogy & Petrology
> Minerals and the igneous, sedimentary, and metamorphic rocks they form.
basalt | Fine-grained, mafic volcanic rock forming oceanic crust and lava flows, rich in iron and magnesium.
quartz | Common silicate mineral (SiO2) with a Mohs hardness of 7, a major component of sandstone and granite.
iron | Abundant element forming Earth's core and key minerals like magnetite and hematite.
metamorphism | Process altering rock's mineral composition and texture under heat and pressure without melting.
feldspars | Most abundant mineral group in Earth's crust, key components of granite and basalt.
calcium carbonate | Compound forming limestone and marine shells, central to the ocean's carbonate system and acidification concerns.
limestone | Sedimentary rock composed mainly of calcium carbonate, often formed from marine organism shells.
obsidian | Naturally occurring volcanic glass formed from rapidly cooled felsic lava.
shale | Fine-grained sedimentary rock formed from compacted mud and clay, often fissile.
granite | Coarse-grained felsic igneous rock composed mainly of quartz and feldspar, forming much of continental crust.
gypsum | Soft sulfate mineral (calcium sulfate dihydrate) used in plaster and drywall, forming through evaporite deposition.
olivine | Green magnesium-iron silicate mineral common in Earth's mantle and mafic igneous rocks.
ophiolites | Sections of oceanic crust and upper mantle thrust onto continental crust, exposing deep Earth material.
aluminum | Abundant crustal metal found in minerals like feldspar and clays, extracted mainly from bauxite ore.
clay | Fine-grained sediment composed of hydrous silicate minerals, forming through weathering and central to shale and soil.
magnesium | Light metallic element abundant in mafic minerals like olivine and pyroxene.
sedimentary rocks | Rocks formed from compaction and cementation of sediment, often preserving fossils and strata.
calcite | Common carbonate mineral (calcium carbonate) forming limestone and marble, easily identified by its effervescence with acid.
carbonate | Mineral group containing the carbonate ion, including calcite and dolomite, forming much of Earth's sedimentary rock.
clays | Fine-grained hydrous silicate minerals formed by weathering, central to soil and sedimentary rock formation.
diagenesis | Physical and chemical changes that transform loose sediment into sedimentary rock.
igneous rocks | Rocks formed from the cooling and solidification of magma or lava.
metamorphic rock | Rock transformed from an existing rock type by heat, pressure, or chemically active fluids.
micas | Sheet silicate minerals with perfect cleavage, common in igneous and metamorphic rocks like granite and schist.
porosity | Measure of void space within a rock or sediment, determining its capacity to hold groundwater or hydrocarbons.
salt | Mineral (halite) formed through evaporation, dissolved in seawater and mined from evaporite deposits.
Bowen's reaction series | Sequence describing the order in which minerals crystallize from cooling magma, from high to low temperature.
chalk | Soft, white limestone formed from the calcite skeletons of marine microorganisms.
clay minerals | Fine-grained hydrous silicate minerals formed by the weathering of feldspar and other silicates.
color | Physical property used, though unreliably, to help identify minerals alongside streak, luster, and hardness.
crystal twinning | Phenomenon where two or more crystals of the same mineral grow together in a symmetrical intergrowth.
gneiss | Banded metamorphic rock formed under high temperature and pressure, typically from granite or sedimentary protoliths.
mafic | Describes igneous rocks and minerals rich in magnesium and iron, typically dark-colored, like basalt.
orthoclase | Potassium-rich feldspar mineral common in granite and a member of the Bowen's reaction series.
pyroxenes | Group of dark, mafic silicate minerals common in basalt and other igneous rocks.
sandstone | Sedimentary rock composed of cemented sand-sized mineral grains, primarily quartz.
sedimentary rock | Rock formed from compaction and cementation of sediment, often preserving fossils and strata.
sulfur | Yellow, non-metallic element found near volcanic vents and hot springs, forming its own native mineral.

# Plate Tectonics & Earth's Interior
> The structure of Earth's interior and the tectonic forces that shape its crust.
earthquakes | Sudden releases of energy along faults, generating seismic waves measured by magnitude scales.
seafloor spreading | Process by which new oceanic crust forms at mid-ocean ridges as plates diverge, key evidence for plate tectonics.
Earth's magnetic field | Field generated by convection in the liquid outer core, protecting Earth from solar wind and recorded in rock magnetism.
subduction | Process by which one tectonic plate slides beneath another, generating volcanism and deep earthquakes.
hotspots | Areas of volcanic activity from stationary mantle plumes rising beneath moving tectonic plates, as at Hawaii and Yellowstone.
mantle | Thick layer of hot, slowly flowing rock between Earth's crust and core, driving plate motion via convection.
mid-ocean ridges | Underwater mountain ranges where tectonic plates diverge and new oceanic crust forms.
orogeny | Mountain-building process driven by tectonic plate collisions, folding and uplifting crust.
subduction zones | Regions where one tectonic plate descends beneath another, producing volcanic arcs and deep-focus earthquakes.
tectonic plates | Rigid segments of Earth's lithosphere that move atop the asthenosphere, driving continental drift.
tsunamis | Large ocean waves typically triggered by underwater earthquakes, volcanic eruptions, or landslides.
faults | Fractures in rock along which displacement has occurred, sites of earthquake generation.
anticlines | Upward-arching folds in rock layers formed by compressional tectonic stress.
asthenosphere | Ductile layer of the upper mantle beneath the lithosphere, allowing tectonic plates to move.
convection | Heat-driven circulation of mantle material thought to drive plate tectonic motion.
geomagnetic reversal | Change in the orientation of Earth's magnetic field, recorded in seafloor rock and used to date seafloor spreading.
isostasy | Gravitational equilibrium between Earth's crust and mantle, causing crust to rise or sink in response to loading.
plate tectonics | Theory that Earth's lithosphere is divided into moving plates whose interactions shape earthquakes, volcanism, and mountain building.
black smokers | Hydrothermal vents on the seafloor emitting mineral-rich, superheated water, often near mid-ocean ridges.
continental drift | Alfred Wegener's hypothesis that continents were once joined and have since moved apart, precursor to plate tectonics.
diapirs | Dome-shaped intrusions where a buoyant, ductile material like salt pierces overlying rock layers.
geomagnetic reversals | Changes in the orientation of Earth's magnetic field, recorded in seafloor rock and used to date seafloor spreading.
guyots | Flat-topped underwater seamounts formed by erosion of extinct volcanic islands before subsidence.
lithosphere | Rigid outer layer of Earth comprising the crust and uppermost mantle, divided into tectonic plates.
Love waves | Type of surface seismic wave causing horizontal shearing motion, generally more destructive than Rayleigh waves.
mantle plumes | Upwellings of abnormally hot rock within the mantle thought to generate volcanic hotspots.
Mohorovicic Discontinuity | Boundary between Earth's crust and mantle, marked by a change in seismic wave velocity.
oceanic crust | Thin, dense basaltic crust forming the ocean floor, continually created at mid-ocean ridges and destroyed at subduction zones.
outer core | Liquid iron-nickel layer of Earth's interior whose convective flow generates the planet's magnetic field.
seismic wave velocity | Speed at which seismic waves travel through Earth's layers, used to map internal structure.
seismic waves | Vibrations generated by earthquakes or explosions that travel through Earth, including P, S, and surface waves.
tectonic faults | Fractures in rock along which displacement has occurred, sites of earthquake generation.

# Volcanism
> Magma, lava, and the eruptive processes and landforms volcanoes produce.
magma | Molten rock beneath Earth's surface that erupts as lava or cools to form igneous rock.
tephra | Fragmented volcanic material ejected during an eruption, ranging from fine ash to large blocks.
Lava | Molten rock that has erupted onto Earth's surface, cooling to form extrusive igneous rock.
volcanic eruptions | Expulsions of magma, gas, and ash from a volcano, ranging from effusive lava flows to explosive pyroclastic events.
fumaroles | Vents in volcanic regions emitting steam and gases, often the final stage of volcanic activity.
pillow lava | Rounded, bulbous lava formations produced by underwater volcanic eruptions.
pyroclastic flow | Fast-moving, superheated current of gas and volcanic matter, one of the deadliest volcanic hazards.
Strombolian eruption | Volcanic eruption style characterized by intermittent, moderate explosions of gas bubbles bursting through lava.
volcanoes | Openings in Earth's crust through which magma, gas, and ash erupt, building characteristic landforms.

# Geomorphology & Surface Processes
> Weathering, erosion, glaciation, and the shaping of Earth's surface.
glaciers | Large, slow-moving masses of ice that carve landscapes via erosion and deposit moraines.
soil | Weathered surface layer of mineral and organic material supporting plant life, classified by horizons.
permafrost | Ground that remains frozen for at least two consecutive years, common in Arctic and alpine regions.
ice | Frozen water forming glaciers, sea ice, and permafrost, central to cryosphere processes.
sand | Granular sediment of rock and mineral particles, forming dunes and beaches through erosion and deposition.
sand dunes | Mounds of wind-deposited sand, shaped by processes like saltation.
weathering | Breakdown of rock at Earth's surface via physical, chemical, or biological processes.
Karst Topography | Landscape formed by dissolution of soluble bedrock like limestone, producing caves, sinkholes, and springs.
caves | Natural underground cavities often formed through the dissolution of soluble rock like limestone.
saltation | Process by which sediment grains bounce and hop along a surface, driven by wind or water.
ablation | Loss of ice or snow from a glacier via melting, evaporation, or calving.
Antarctica | Southernmost continent, almost entirely covered by an ice sheet holding most of Earth's fresh water.
deserts | Arid regions receiving little precipitation, shaped by wind erosion and deposition.
erosion | Process by which rock and soil are worn away and transported by wind, water, or ice.
icebergs | Large chunks of freshwater ice that have broken off glaciers or ice shelves to float in open water.
loess | Fine, wind-deposited sediment forming fertile, unstratified soil layers.
longshore drift | Movement of sediment along a coastline caused by waves approaching at an angle.
plucking | Glacial erosion process where a glacier freezes onto rock and pulls fragments away as it moves.
solifluction | Slow downslope movement of water-saturated soil, common in periglacial and permafrost regions.
bedrock | Solid rock underlying loose soil, sediment, or other surface material.
