# Baroque & Classical Opera (1600-1800)

Claudio Monteverdi | Baroque opera pioneer; L'Orfeo (1607) is opera's cornerstone; revolutionized expressive harmony.
Christoph Willibald Gluck | Reformer who stripped operatic excess and prioritized clarity over virtuosity displays.
George Frideric Handel | Baroque master of da capo arias; prolific in Italian opera conventions and oratorio.
Wolfgang Amadeus Mozart | Classical apex; 22 operas blend serious drama and comic wit with unmatched elegance.
Dido and Aeneas | Purcell's brief Baroque masterpiece; Dido's lament is opera's most emotionally devastating moment.
Orpheus -> L'Orfeo | Monteverdi's mythological catalyst; shows recitative's expressive power and opera's philosophical roots.
The Magic Flute | Mozart's fantasy-Masonic synthesis; fuses sublime music with popular spectacle and spoken dialogue.
Don Giovanni | Mozart's darkest opera; seduction, supernatural justice, and eternal damnation collide dramatically.
The Marriage of Figaro | Mozart-Da Ponte brilliance; supreme comic opera uniting wit, melody, and social satire.
The Abduction from the Seraglio | Mozart's Singspiel hybrid; Turkish Orientalism blended with German dialogue and ensemble finales.

# Italian Romantic & Verismo Opera (1800-1920s)

Gioachino Rossini -> Gioacchino Rossini | Early 19th-century master; Barber of Seville defined comic opera's spirited speed.
Vincenzo Bellini | Bel canto lyricist; pure melodies and emotional heroines; Norma its tragic-soprano summit.
Gaetano Donizetti | Prolific Romantic; emotionally complex heroines; Lucia's Mad Scene is soprano's ultimate test.
Giuseppe Verdi | 19th-century colossus; transformed harmony and drama; created modern Italian opera's emotional language.
Giacomo Puccini | Melody master; verismo pioneer blending realism with Romantic sentiment; Turandot left unfinished.
The Barber of Seville | Rossini's farcical masterpiece; wit, energy, and tuneful brilliance ensure eternal revival.
Norma | Bellini's Celtic priestess tragedy; conflicted mother and priestess; bel canto perfection amid duty and love.
Lucia di Lammermoor | Donizetti's Mad Scene opus; soprano's most demanding display of vocal and dramatic range.
Rigoletto | Verdi's jester-father tragedy; political intrigue, seduction, and vendetta detonate in heart-wrenching finale.
La Traviata | Verdi's courtesan-heroine; intimacy, tubercular pathos, and timeless melody ensure perpetual resonance.
Aida | Verdi's Egyptian grandeur; colonial love, sacrifice, and entombment; spectacle meets emotional depth perfectly.
La boheme | Puccini's bohemian Paris; tender romance amid poverty and tuberculosis; humanity transcends class distance.
Tosca | Puccini's Rome spy-thriller; violence, passion, betrayal, torture; famous for act-ending jumps and despair.
Madame Butterfly | Puccini's Japanese tragedy; Western colonialism experienced through tragic female perspective and infanticide.
Turandot | Puccini's unfinished Chinese puzzle; cold princess, three riddles, love's redemptive power, "Nessun dorma" soars.
I Pagliacci | Verismo staple; backstage jealousy explodes into on-stage murder during performance of commedia dell'arte.
Cavalleria Rusticana | Mascagni's Sicilian verismo gem; rural honor, seduction, jealousy erupt violently in single sharp act.
Andrea Chenier | Giordano's French Revolution drama; idealistic revolutionary struggles between love and political conviction.
verismo | Late 19th-century realism movement; raw contemporary emotion and working-class subjects replace historical grandeur entirely.

# French Opera (1800-1900)

Giacomo Meyerbeer | Grand Opera pioneer; massive spectacle with ballet, chorus, and elaborate processions dominate.
Georges Bizet | Carmen's genius composer; dramatic realism revolutionized opera; tragic early death limited legacy.
Jules Massenet | Lyrical master of exotic settings; sensuality, virtuosity, and dramatic elegance define his aesthetic.
Les Huguenots | Meyerbeer's five-act spectacle; religious conflict, romance, and massacre; defines Grand Opera magnitude.
Carmen | Bizet's Seville tragedy; gypsies, passion, fate collide; Habanera and Toreador Song iconic forever.
Faust | Gounod's Faustian compact; learned scholar seduces innocent; damnation and supernatural rescue intertwine.
The Tales of Hoffmann | Offenbach's fantastical trilogy; three loves, three obstacles; mechanical, poetic, and demonic magic realms.

# German & Austro-Hungarian Opera (1800-1900+)

