# Old English & Anglo-Saxon Literature
> Alliterative verse and prose in the earliest form of English, running from Caedmon through the Norman Conquest of 1066.
Beowulf | Anonymous Old English epic of a Geatish hero who slays Grendel, Grendel's mother, and a dragon.
Old English | Earliest stage of the English language, used in Beowulf and Anglo-Saxon poetry before roughly 1150.
Grendel | Monster slain by the hero in Beowulf, along with Grendel's mother and later a dragon.
riddles | Old English poetic form preserved in the Exeter Book, posing clever double-meaning puzzles.
alliteration | Key structural device of Old English verse, linking stressed syllables across the poetic line as in Beowulf.
Caedmon | Earliest known named English poet, a herdsman said to have received the gift of song in a dream.
The Dream of the Rood | Old English dream-vision poem in which the cross (rood) itself narrates Christ's crucifixion.
Bede | Anglo-Saxon monk-historian; the Ecclesiastical History of the English People, "the father of English history."
Exeter Book | Major manuscript anthology of Old English poetry, preserving riddles, elegies, and religious verse.
Grendel's mother | Vengeful monster slain by Beowulf after he kills her son Grendel.
kennings | Compound metaphorical phrases, such as "whale-road" for the sea, characteristic of Old English poetry.
Taliesin | Legendary early medieval Welsh bard credited with a body of Brythonic praise poetry.
The Venerable Bede | Anglo-Saxon monk-historian; the Ecclesiastical History of the English People, "the father of English history."

# Middle English Literature
> Vernacular poetry and prose written after 1066 under Norman and continental influence, culminating in Chaucer's generation.
Geoffrey Chaucer | Father of English poetry; The Canterbury Tales and Troilus and Criseyde, written in Middle English.
The Canterbury Tales | Chaucer's frame narrative of pilgrims to Canterbury telling tales, including the Wife of Bath and the Pardoner.
Middle English | Stage of the English language, used by Chaucer and the Gawain-poet, between Old English and the modern tongue.
Sir Gawain and the Green Knight | Anonymous alliterative romance in which Gawain accepts a beheading challenge from a mysterious green knight.
Everyman | Anonymous medieval morality play in which the allegorical figure Everyman is summoned by Death.
the Wife of Bath = Wife of Bath | Chaucer's oft-married, outspoken pilgrim in The Canterbury Tales who argues for female authority in marriage.
The Pearl Poet | Anonymous author credited with Sir Gawain and the Green Knight, Pearl, and other alliterative Middle English poems.
John Gower | Middle English poet and contemporary of Chaucer; Confessio Amantis, a collection of moral tales.
morality plays | Medieval allegorical drama genre, exemplified by Everyman, teaching moral lessons through personified virtues and vices.
Sir Gawain | Arthurian knight who accepts the Green Knight's beheading challenge in the alliterative romance bearing his name.
Thomas More | Early Tudor humanist statesman and author of Utopia, executed under Henry VIII.
"The Knight's Tale" | First and longest tale in Chaucer's Canterbury Tales, of two knights' rivalry for the same woman.
the Pardoner | Corrupt seller of indulgences among Chaucer's Canterbury Tales pilgrims, whose tale warns against greed.
Utopia | Thomas More's work describing an ideal imagined island society, coining the term "utopia."
William Caxton | Introduced the printing press to England in 1476, printing Chaucer's Canterbury Tales and Malory's Morte d'Arthur.
"The Miller's Tale" | Bawdy fabliau from Chaucer's Canterbury Tales involving a cuckolded carpenter and a misdirected kiss.
Gawain | Arthurian knight who accepts the Green Knight's beheading challenge in the alliterative romance bearing his name.
John Skelton | Early Tudor poet known for "Skeltonics," short, driving rhymed lines bridging medieval and Renaissance verse.
Julian of Norwich | Medieval English mystic and anchoress; Revelations of Divine Love, the earliest surviving English-language book by a woman.
King Arthur | Legendary British king whose court and knights, including Gawain, populate medieval English romance.
makars | Term for medieval and early-modern Scottish court poets, including Dunbar and Henryson.
Marie de France | Anglo-Norman poet at the English court who wrote the Lais, short verse romances.
Pearl | Anonymous elegiac dream-vision poem, attributed to the Gawain-poet, mourning a lost child or "pearl."
Piers Plowman | William Langland's allegorical dream-vision poem following Piers the Plowman's search for religious truth.
Sir Thomas More | Early Tudor humanist statesman and author of Utopia, executed under Henry VIII.
Troilus | Trojan prince whose doomed love for Criseyde is chronicled in Chaucer's Troilus and Criseyde.
Troilus and Criseyde | Chaucer's tragic romance of a Trojan prince betrayed by his beloved Criseyde for the Greek Diomedes.
"The Pardoner's Tale" | Chaucer's Canterbury tale of three revelers who find death by greedily fighting over gold.
Le Morte d'Arthur | Thomas Malory's compilation of Arthurian legend, printed by Caxton in 1485.
