Edward	High and Late Medieval Europe
Francisco Franco Bahamonde	Interwar Crisis and World War II	Full name of Francisco Franco, the Nationalist general who won the Spanish Civil War and ruled Spain until 1975.
Frederick Barbarossa	High and Late Medieval Europe	Holy Roman Emperor of the Hohenstaufen dynasty who battled the Lombard League and drowned on the Third Crusade.
Frederick the Great	Absolutism and the Early Modern State	Prussian king who built Prussia into a great power, seizing Silesia and fighting the Seven Years' War.
House of Habsburg	Absolutism and the Early Modern State	European dynasty ruling Austria, Spain, and the Holy Roman Empire for centuries, ending with Austria-Hungary's 1918 collapse.
James	High and Late Medieval Europe
Khazars	Early Medieval Europe	Turkic steppe khaganate north of the Black Sea whose elite reportedly converted to Judaism; later crushed by Kievan Rus'.
Lajos Kossuth	Nationalism and Reform in Nineteenth-Century Europe	Hungarian statesman who led the 1848-1849 revolution and war of independence against Habsburg rule.
Leon Trotsky	World War I and Revolutionary Europe	Bolshevik leader who organized the Red Army during the Russian Civil War, later exiled and assassinated by Stalin's agent.
Lombards	Early Medieval Europe	Germanic people who invaded Italy in the 6th century, founding a kingdom later conquered by Charlemagne's Franks.
Lord Palmerston	Nationalism and Reform in Nineteenth-Century Europe	British foreign secretary and prime minister known for assertive gunboat diplomacy in the mid-19th century.
Louis IX	High and Late Medieval Europe	Later canonized French king who led the Seventh and Eighth Crusades and codified French royal justice.
Maria Theresa	Absolutism and the Early Modern State	Habsburg empress who fought the War of the Austrian Succession and Seven Years' War, mother of Marie-Antoinette.
Peterloo massacre	Nationalism and Reform in Nineteenth-Century Europe	1819 killing of protesters by cavalry at a Manchester rally for parliamentary reform.
Sarajevo	World War I and Revolutionary Europe	Bosnian capital where Gavrilo Princip assassinated Archduke Franz Ferdinand in 1914, triggering World War I.
Theodoric the Great	Antiquity, Late Antiquity, and Byzantium	Ostrogothic king who ruled Italy from Ravenna after overthrowing Odoacer, blending Roman and Gothic rule.
Toledo	High and Late Medieval Europe	Former Visigothic and Moorish Spanish capital, noted for its medieval school of translation and religious coexistence.
Vichy France	Interwar Crisis and World War II	Collaborationist French state under Marshal Petain after the 1940 defeat, governing the unoccupied south until 1944.
Warsaw	Interwar Crisis and World War II	Polish capital devastated by a 1944 uprising against Nazi occupation, later rebuilt under Communist rule.
William	High and Late Medieval Europe
wool	Economy, Society, and Culture	Medieval England and Flanders's key export commodity, driving trade networks and taxation disputes with France.
Alcuin of York	Early Medieval Europe	English scholar who led Charlemagne's Carolingian Renaissance at the Palace School of Aachen.
Algeria	Cold War and Contemporary Europe	North African French colony whose brutal 1954-1962 war of independence brought down France's Fourth Republic.
Augsburg	Reformation and the Wars of Religion	German city that gave its name to the 1555 religious peace and the 1530 Lutheran confession of faith.
Battle of Lepanto	Renaissance and the Age of Exploration	1571 naval battle in which a Holy League fleet decisively defeated the Ottoman navy in the Gulf of Corinth.
Battle of Sedan	Nationalism and Reform in Nineteenth-Century Europe	1870 battle in which Prussia captured Napoleon III, deciding the Franco-Prussian War.
Charles XII	Absolutism and the Early Modern State	Warrior king of Sweden defeated by Peter the Great's Russia at Poltava during the Great Northern War.
Congress of Vienna	Revolution and Napoleonic Europe	1814-1815 conference led by Metternich that redrew Europe's map and restored balance of power after Napoleon.
Edward II	High and Late Medieval Europe	English king defeated by Robert the Bruce at Bannockburn, later deposed and murdered amid baronial opposition.
Egypt	Antiquity, Late Antiquity, and Byzantium	Ancient civilization on the Nile, later a Roman, Byzantine, and Ottoman province before modern independence.
Francis I	Renaissance and the Age of Exploration	French Renaissance king and rival of Charles V, patron of Leonardo da Vinci, captured at the Battle of Pavia.
Frederick	High and Late Medieval Europe
George III	Nationalism and Reform in Nineteenth-Century Europe	Long-reigning British king who lost the American colonies and suffered recurring bouts of mental illness.
guilds	Economy, Society, and Culture	Medieval associations of craftsmen and merchants that regulated trade, training, and quality in European towns.
Henry V	High and Late Medieval Europe	English king who won the Battle of Agincourt during the Hundred Years' War and was celebrated by Shakespeare.
House of Orange-Nassau	Reformation and the Wars of Religion	Dutch royal house descended from William the Silent, leader of the revolt against Habsburg Spain.
James II of England	Absolutism and the Early Modern State	Catholic English king deposed in the 1688 Glorious Revolution by William III and Mary II.
Janissaries	High and Late Medieval Europe	Elite Ottoman infantry corps recruited via the devshirme levy of Christian boys, eventually abolished in 1826.
Janos Kadar	Cold War and Contemporary Europe	Hungarian Communist leader installed after the Soviets crushed the 1956 uprising, ruling for over three decades.
Jews	Economy, Society, and Culture	European Jewish communities, subject to periodic persecution, pogroms, and the Holocaust across the continent's history.
Joseph II	Absolutism and the Early Modern State	Habsburg "Enlightened despot" emperor who abolished serfdom and expanded religious toleration in his reforms.
Junkers	Nationalism and Reform in Nineteenth-Century Europe	Prussian landed aristocracy that dominated the military and civil service, backbone of Bismarck's conservative state.
Krakow	High and Late Medieval Europe	Former royal capital of Poland, seat of the Jagiellonian University and Wawel Castle.
Kyiv	Early Medieval Europe	Capital of Kievan Rus', the medieval East Slavic state from which Russia, Ukraine, and Belarus trace their origins.
Leonid Brezhnev	Cold War and Contemporary Europe	Soviet leader whose long tenure brought stagnation, the Prague Spring invasion, and detente with the West.
Lollards	High and Late Medieval Europe	English proto-Protestant followers of John Wycliffe who challenged Church authority and translated the Bible.
Magdeburg	Reformation and the Wars of Religion	German city notoriously sacked and largely destroyed by Catholic League forces during the Thirty Years' War.
Magyars	Early Medieval Europe	Nomadic steppe people who settled the Carpathian Basin and founded Hungary after raiding Europe.
monasteries	Economy, Society, and Culture	Christian religious communities that preserved learning and managed land, dissolved in England under Henry VIII.
Netherlands	Reformation and the Wars of Religion	Low Countries state that won independence from Habsburg Spain in the Eighty Years' War, then flourished in its Golden Age.
