# Medieval and Renaissance
> Chant, polyphony, and early vocal music from Hildegard through Palestrina, Byrd, and the Renaissance madrigalists and motet composers.
Thomas Tallis | English Renaissance composer of Tudor sacred music, including the 40-voice motet Spem in Alium.
madrigals | Secular vocal part-songs of the Renaissance, especially Italian and English; Monteverdi's books span the Renaissance-Baroque transition.
Giovanni Pierluigi da Palestrina | Italian Renaissance composer of the Roman School, master of clear vocal polyphony; wrote the Pope Marcellus Mass.
Gregorian chant | Monophonic, unaccompanied liturgical chant of the medieval Catholic Church, the foundation of Western notated music.
Josquin des Prez | Franco-Flemish Renaissance composer renowned for masses and motets admired across Europe.
William Byrd | English Renaissance composer and organist, a Catholic under Protestant rule known for masses and keyboard music.
Guillaume de Machaut | French medieval poet-composer of the Ars Nova, known for the Messe de Nostre Dame.
Stabat Mater | Latin sacred text on Mary's sorrow at the crucifixion, set by composers from Palestrina to Pergolesi.
Hildegard von Bingen | Medieval German abbess and composer of monophonic sacred chant, among the earliest named composers.
John Dowland | English Renaissance lutenist-composer known for melancholic songs like "Flow, My Tears."
Guido of Arezzo | Medieval music theorist who developed staff notation and the solfege syllables (ut-re-mi).
Martin Luther | Protestant reformer who wrote German-language hymns, including "A Mighty Fortress is Our God."
"A Mighty Fortress is Our God" | Hymn written by Martin Luther, based on Psalm 46 and central to Lutheran chorale tradition.
madrigal | Secular vocal part-song of the Renaissance, especially in Italy and England, often setting pastoral or love poetry.
organum | Earliest known form of Western polyphony, adding a second voice to plainchant in medieval practice.
"L'homme arme" | Popular secular tune used as a cantus firmus in dozens of Renaissance mass settings.
Ars Nova | 14th-century French musical movement associated with Machaut, introducing rhythmic innovations in notation.
Carlo Gesualdo | Italian Renaissance nobleman-composer known for extremely chromatic madrigals and for murdering his wife.
Guillaume Dufay | Early Renaissance Burgundian composer known for masses and motets, among the era's most influential figures.
Johannes Ockeghem | Franco-Flemish Renaissance composer celebrated for intricate polyphonic masses and canonic technique.
Josquindes Prez | Variant rendering of Josquin des Prez, the Franco-Flemish Renaissance master of masses and motets.
Guillaume Du Fay | Variant spelling of Dufay, the early Renaissance Burgundian master of masses and motets.
Hildegard of Bingen | Variant name for the medieval German abbess-composer of monophonic sacred chant.
ars subtilior | Extremely complex, rhythmically intricate late-medieval notational style following the Ars Nova.
Giovanni Gabrieli | Venetian Renaissance composer known for polychoral works exploiting St. Mark's Basilica's architecture.
Giovanni Palestrina | Shortened name for the Italian Renaissance master of clear vocal polyphony.
Giovanni Perluigi da Palestrina | Misspelled variant of Palestrina, the Italian Renaissance master of clear vocal polyphony.
Gregorio Allegri | Italian Renaissance-Baroque composer of the famously guarded choral work Miserere mei, Deus.
Notre Dame | Paris cathedral that gave its name to the medieval Notre Dame school of early polyphony.
Notre-Dame de Paris | Full name of the Paris cathedral tied to the medieval Notre Dame school of organum composers Leonin and Perotin.
Spem in Alium | Thomas Tallis's monumental 40-voice motet, a showpiece of Tudor sacred polyphony.
Stabat Mater dolorosa | Full opening words of the Latin sacred text on Mary's sorrow, set by Palestrina, Pergolesi, and others.
chant | Monophonic, unaccompanied liturgical singing, especially the Gregorian chant of the medieval Catholic Church.
Gilles Binchois | Early Renaissance Burgundian composer and contemporary of Dufay, known for chansons.
Gregorian chants | Plural of the monophonic, unaccompanied liturgical chant of the medieval Catholic Church.
hocket | Medieval technique alternating rapid notes and rests between voices to create a hiccuping effect.
Leonin | Medieval composer of the Notre Dame school, a pioneer of measured polyphonic organum.
Miserere mei, Deus | Gregorio Allegri's famously guarded choral setting of Psalm 51, long restricted to Sistine Chapel performance.
Orlando Gibbons | English Renaissance composer known for keyboard, consort, and Anglican church music.
Philippe De Vitry | Medieval French theorist and composer associated with the rhythmic innovations of the Ars Nova.
Pope Marcellus Mass | Palestrina's celebrated mass, long credited with saving polyphony from Counter-Reformation reformers.
Tomas Luis de Victoria | Spanish Renaissance composer of intensely expressive sacred polyphony.
troubadours | Medieval poet-musicians of courtly love active in southern France.

# Baroque
> Bach, Handel, Vivaldi, and the rise of tonal counterpoint, concerto grosso, fugue, and other instrumental forms of the 17th and early 18th centuries.
Johann Sebastian Bach | German Baroque master of counterpoint; wrote the Brandenburg Concertos, Well-Tempered Clavier, and Mass in B minor.
George Frideric Handel | German-born English Baroque composer of Messiah, Water Music, and numerous opera serias and oratorios.
Antonio Vivaldi | Italian Baroque violinist-composer famed for The Four Seasons and hundreds of concertos; taught at the Ospedale della Pieta.
Arcangelo Corelli | Italian Baroque violinist-composer who standardized the concerto grosso and trio sonata forms.
Georg Philipp Telemann | Prolific German Baroque composer, a contemporary and friend of Bach known for his enormous instrumental output.
Domenico Scarlatti | Italian Baroque composer at the Spanish court, known for hundreds of one-movement harpsichord sonatas.
Goldberg Variations | Bach's set of keyboard variations on an aria, reputedly written to soothe an insomniac count.
Water Music | Handel's suite of orchestral movements composed for a royal barge procession on the Thames.
Francois Couperin | French Baroque harpsichordist-composer known as "le Grand," author of a treatise on harpsichord playing.
The Four Seasons | Vivaldi's set of four violin concertos, each depicting a season with programmatic imagery in accompanying sonnets.
Messiah | Handel's English-language oratorio on the life of Christ, famous for its "Hallelujah" chorus.
Scarlatti | Italian Baroque surname shared by Domenico, composer of harpsichord sonatas, and his father Alessandro.
Brandenburg Concertos = the Brandenburg Concertos | Bach's set of six concertos for varied instrumental combinations, dedicated to the Margrave of Brandenburg.
The Musical Offering | Bach's set of contrapuntal pieces built on a theme given to him by Frederick the Great.
The Well-Tempered Clavier | Bach's two books of preludes and fugues in all 24 major and minor keys.
Dieterich Buxtehude | German Baroque organist whose work at Lubeck influenced the young J.S. Bach.
J.S. Bach = J. S. Bach | Abbreviated name of the German Baroque master of counterpoint and composer of the Brandenburg Concertos.
Frederick the Great | Prussian king and amateur flutist who gave Bach the theme used in The Musical Offering.
Johann Pachelbel | German Baroque composer best known for the widely arranged Canon in D.
Mass in B minor | Bach's monumental setting of the Latin mass, compiled near the end of his life.
Music for the Royal Fireworks | Handel's suite composed for a royal fireworks display celebrating a peace treaty.
St. Matthew Passion | Bach's large-scale setting of Christ's passion narrative from the Gospel of Matthew.
Barbara Strozzi | Italian Baroque singer-composer known for a large output of secular cantatas and arias.
Couperin | French Baroque surname most associated with harpsichordist-composer Francois Couperin "le Grand."
Giovanni Battista Pergolesi | Italian Baroque composer who died young, remembered for the Stabat Mater and comic intermezzo La serva padrona.
John Blow | English Baroque composer and organist, teacher of Henry Purcell at Westminster Abbey.
Marc-Antoine Charpentier | French Baroque composer whose Te Deum prelude became famous as the Eurovision broadcast fanfare.
Brandenburg Concerto No. 2 | Bach's concerto featuring a famously high trumpet part alongside recorder, oboe, and violin.
Francois Couperin le grand | Full title of the French Baroque harpsichordist-composer known as "le Grand."
Georg Frideric Handel | Spelling variant of the German-born English Baroque composer of Messiah.
George Frederic Handel | Spelling variant of the German-born English Baroque composer of Messiah.
George Friedrich Handel | Spelling variant of the German-born English Baroque composer of Messiah.
Giuseppe Tartini | Italian Baroque violinist-composer known for the "Devil's Trill" Sonata.
Jan Pieterszoon Sweelinck | Dutch composer-organist bridging Renaissance and Baroque styles, influential on North German organ music.
Johann Joseph Fux | Austrian Baroque composer and theorist whose treatise Gradus ad Parnassum codified counterpoint pedagogy.
Rosary Sonatas | Heinrich Biber's violin sonatas using scordatura tuning to depict mysteries of the rosary.
Toccata and Fugue in D minor | Bach's dramatic organ work, among the most famous pieces in the organ repertoire.
Alessandro Scarlatti | Italian Baroque composer of operas and cantatas, father of harpsichordist Domenico Scarlatti.
Anna Magdalena Bach | Second wife of J.S. Bach, namesake of a notebook of keyboard pieces compiled for her.
Antonio Lucio Vivaldi | Full name of the Italian Baroque violinist-composer famed for The Four Seasons.
Bach | Surname of the German Baroque family dominated by Johann Sebastian Bach, master of counterpoint.
Baroque | Musical era spanning roughly 1600-1750, defined by counterpoint, ornamentation, and basso continuo.
Baroque era | Musical period spanning roughly 1600-1750, defined by counterpoint, ornamentation, and basso continuo.
cantatas by Johann Sebastian Bach | Bach's output of over 200 church cantatas composed for the Lutheran liturgical calendar.
Christmas Concerto | Corelli's concerto grosso composed "for the night of the Nativity."
Coffee Cantata | Bach's comic secular cantata satirizing a daughter's coffee addiction and her father's disapproval.
Georg Friedrich Handel | Spelling variant of the German-born English Baroque composer of Messiah.
Girolamo Frescobaldi | Italian early Baroque keyboard and organ composer influential across Europe.
Heinrich Biber | Austrian Baroque violinist-composer known for the scordatura-based Rosary Sonatas.
Judas Maccabaeus | Handel's oratorio celebrating a Jewish military hero's triumph, including "See, the Conquering Hero Comes."
L'estro armonico | Vivaldi's influential collection of twelve concertos that shaped the genre across Europe.
Ospedale della Pieta | Venetian orphanage and music school where Vivaldi taught and composed for its renowned girls' orchestra.
Pietro Antonio Locatelli | Italian Baroque violinist-composer known for extremely virtuosic caprices.
sonata da chiesa | "Church sonata" genre of slow-fast movement alternation, contrasted with the dance-based sonata da camera.
St John Passion | Bach's dramatic setting of Christ's passion narrative from the Gospel of John.
The Art of Fugue | Bach's late, unfinished cycle exhaustively exploring contrapuntal possibilities of a single theme.
The Harmonious Blacksmith | Nickname for a movement from one of Handel's harpsichord suites.
Tomaso Albinoni | Italian Baroque composer whose name is attached to a famous "Adagio," largely a 20th-century reconstruction.

# Classical Era
> Haydn, Mozart, and early Beethoven establish the symphony, string quartet, and sonata form in Vienna.
Wolfgang Amadeus Mozart | Austrian child prodigy and leading Classical composer of Don Giovanni, The Magic Flute, and 41 symphonies.
