Jacob	Materials, Motifs, and Common-Link Subjects
Jacob Epstein	Sculpture, Architecture, and Photography	British-American sculptor associated with Vorticism, known for bold modernist figures.
Jacopo Tintoretto	Italian Renaissance and Mannerism	Full name of Tintoretto, Venetian Renaissance/Mannerist painter known for dramatic compositions.
James	Materials, Motifs, and Common-Link Subjects
James Turrell	Sculpture, Architecture, and Photography	American artist known for immersive installations manipulating perceived light and space.
Jan	Materials, Motifs, and Common-Link Subjects
Jean Desire Gustave Courbet	Realism, Impressionism, and Post-Impressionism	Full name of Courbet, French Realist painter who rejected academic idealization.
Jean-Louis Andre Theodore Gericault	Neoclassicism, Romanticism, and Nineteenth-Century Landscape	Full name of Gericault, French Romantic painter of The Raft of the Medusa.
Jean-Paul Marat	Neoclassicism, Romanticism, and Nineteenth-Century Landscape	French revolutionary journalist depicted murdered in his bath in David's Neoclassical painting.
Jeff	Abstract Expressionism, Pop Art, and Contemporary Art
Jewish	Materials, Motifs, and Common-Link Subjects	Common-link identity tied to artists like Chagall whose work drew on Jewish folklore.
Joachim Patinir	Northern Renaissance and Netherlandish Painting	Early Netherlandish painter credited with pioneering pure landscape as a genre.
John Berger	Materials, Motifs, and Common-Link Subjects	British critic known for Ways of Seeing, a landmark study of how we view art.
John Martin	Neoclassicism, Romanticism, and Nineteenth-Century Landscape	British Romantic painter known for apocalyptic, sublime biblical disaster scenes.
John Tenniel	Realism, Impressionism, and Post-Impressionism	Victorian illustrator best known for the original Alice in Wonderland engravings.
Juan de Pareja	Baroque and Rococo	Velazquez's enslaved assistant, later a painter himself after gaining his freedom.
Judith and Holofernes	Materials, Motifs, and Common-Link Subjects	Biblical scene of the heroine Judith depicted with violent realism by Caravaggio and Gentileschi.
Judith Slaying Holofernes	Baroque and Rococo	Artemisia Gentileschi's Baroque painting depicting the beheading with visceral realism.
Julian Schnabel	Abstract Expressionism, Pop Art, and Contemporary Art	American Neo-Expressionist known for large "plate paintings" built from broken ceramics.
jumping	Materials, Motifs, and Common-Link Subjects	Common-link motif of figures caught mid-leap in photography and painting.
Kathe Kollwitz	Cubism, Expressionism, and Early Modernism	German Expressionist printmaker known for anguished depictions of war and poverty.
Kazuo Ishiguro	Materials, Motifs, and Common-Link Subjects	Novelist occasionally referenced as a common-link figure alongside visual artists of his era.
Kerry James Marshall	Abstract Expressionism, Pop Art, and Contemporary Art	Contemporary painter known for scenes centering Black figures within art-historical genres.
Kiki	Sculpture, Architecture, and Photography	Kiki de Montparnasse, Parisian model and muse who appeared throughout Man Ray's photographs.
Knight, Death and the Devil	Northern Renaissance and Netherlandish Painting	Durer's engraving of an armored knight riding steadfastly past personifications of Death and the Devil.
Knight, Death, and the Devil	Northern Renaissance and Netherlandish Painting	Durer's engraving of an armored knight riding steadfastly past personifications of Death and the Devil.
kouros	Ancient, Medieval, and Byzantine Art	Ancient Greek archaic sculpture type of a standing, idealized nude young man.
L'Absinthe	Realism, Impressionism, and Post-Impressionism	Degas's painting of a despondent woman with a glass of absinthe in a Paris cafe.
