Speaker of the House of Representatives	States, Territories, and Cities
St. Louis, Missouri	States, Territories, and Cities	Missouri city on the Mississippi; gateway for westward expansion; hosted the 1904 World's Fair.
standing	Contemporary America	Legal doctrine requiring plaintiffs to show sufficient stake to bring a case, central to many constitutional rulings.
Stanford	States, Territories, and Cities	California university founded 1885 by railroad magnate Leland Stanford in memory of his son.
Staten Island	States, Territories, and Cities	New York City borough connected to Manhattan by ferry, historically distinct from the other boroughs.
Stephen F. Austin	The Early Republic and Jacksonian America	"Father of Texas" who led American colonization of the region under Mexican authority, laying groundwork for the Texas Revolution.
Stonewall Inn	Contemporary America	Greenwich Village gay bar whose 1969 police raid sparked riots launching the modern LGBTQ rights movement.
Strategic Defense Initiative	Contemporary America	Reagan's proposed missile-defense system ("Star Wars") intended to shoot down Soviet nuclear missiles.
strict scrutiny	The Cold War and Civil Rights	Highest level of judicial review applied to laws affecting fundamental rights or suspect classifications like race.
Strom Thurmond	The Cold War and Civil Rights	Segregationist Dixiecrat 1948 presidential candidate who became a record-long-serving senator after switching to the Republican Party.
Student Nonviolent Coordinating Committee	The Cold War and Civil Rights	Youth-led civil rights organization that organized sit-ins and Freedom Summer voter registration.
Sullivan Expedition	American Revolution and the Founding	1779 Continental Army campaign that destroyed Iroquois villages allied with the British in New York.
syphilis	The Depression, New Deal, and World War II	Disease whose untreated progression was unethically studied on Black men in the infamous Tuskegee experiment.
taverns	Colonial America	Colonial gathering places serving as inns, social hubs, and sites of political organizing before the Revolution.
television	The Cold War and Civil Rights	Mass medium that transformed politics and culture from the 1950s on, shaping events from the Kennedy-Nixon debates to Vietnam coverage.
Tet Offensive	The Cold War and Civil Rights	1968 massive North Vietnamese/Viet Cong assault that, despite US military success, undermined American public support for the Vietnam War.
Texas Rangers	The Early Republic and Jacksonian America	Law enforcement/paramilitary force established during the Texas Republic era, active against Native peoples and Mexican forces.
The Birth of a Nation	The Progressive Era and World War I	1915 D.W. Griffith film glorifying the Ku Klux Klan, whose popularity helped spur the Klan's 1920s revival.
the draft	The Cold War and Civil Rights	Military conscription system whose inequities and enforcement became a central flashpoint of Vietnam-era protest.
the Federalist Papers	American Revolution and the Founding	Essays by Hamilton, Madison, and Jay urging ratification of the Constitution.
the Internet	Contemporary America	Communications network originating from the Cold War-era ARPANET, later commercialized in the 1990s.
the Mafia	The Depression, New Deal, and World War II	Italian-American organized crime syndicates that grew powerful through Prohibition-era bootlegging.
the Underground Railroad	Civil War and Reconstruction	Secret network of routes and safe houses helping enslaved people escape to freedom, aided by figures like Harriet Tubman.
Thomas Dewey	The Depression, New Deal, and World War II	New York governor and Republican presidential nominee famously, and wrongly, predicted to defeat Truman in 1948.
Thomas Hart Benton	The Early Republic and Jacksonian America	Longtime Missouri senator ("Old Bullion") who championed hard currency, westward expansion, and Jacksonian Democracy for thirty years.
tobacco industry	Colonial America	Cash-crop sector that saved the Jamestown colony economically, dependent on enslaved and indentured labor.
Toledo War	The Early Republic and Jacksonian America	1835-36 bloodless border dispute between Ohio and the Michigan Territory over the Toledo Strip.
Tom Bradley	Contemporary America	Long-serving Los Angeles mayor, the city's first Black mayor, who oversaw the 1984 Olympics.
Transatlantic telegraph cable	The Gilded Age and the West	1866 undersea cable enabling near-instant communication between North America and Europe.
Transcontinental Railroads	The Gilded Age and the West	Rail lines, completed with the 1869 golden spike, linking the East and West coasts and spurring industrial growth.
Treaty of Fort Laramie	The Gilded Age and the West	1868 agreement recognizing Lakota control of the Black Hills, later violated after gold was discovered there.
Treaty of Versailles	The Progressive Era and World War I	1919 peace agreement ending World War I, rejected by the US Senate over League of Nations membership.
trees	The Gilded Age and the West
Trent Affair	Civil War and Reconstruction	1861 diplomatic crisis after the Union seized Confederate envoys from a British ship, nearly drawing Britain into the war.
Turtle	American Revolution and the Founding	Early hand-powered submersible used in a failed 1776 attempt to attack a British warship in New York harbor.
Tuskegee Institute	The Gilded Age and the West	Historically Black college founded by Booker T. Washington in Alabama in 1881.
Underground Railroad	Civil War and Reconstruction	Secret network of routes and safe houses helping enslaved people escape to freedom, aided by figures like Harriet Tubman.
United Mine Workers of America	The Progressive Era and World War I	Coal miners' union led for decades by John L. Lewis, central to major 20th-century labor disputes.
United States Navy	American Revolution and the Founding	Naval branch tracing its origins to the Continental Navy of the Revolutionary War.
United States Presidential Election of 1876	The Gilded Age and the West	Disputed election between Hayes and Tilden resolved by the Compromise of 1877, ending Reconstruction.
Universal suffrage	The Progressive Era and World War I	Principle achieved for women with the 1920 Nineteenth Amendment, extending the vote regardless of sex.
University of Chicago	States, Territories, and Cities	Major research university founded 1890 with Rockefeller funding.
University of Mississippi	The Cold War and Civil Rights	School whose 1962 integration by James Meredith sparked deadly riots.
USA PATRIOT Act	Contemporary America	2001 law expanding government surveillance powers in response to the September 11 attacks.
USS Maddox	The Cold War and Civil Rights	US destroyer involved in the 1964 Gulf of Tonkin incident that prompted escalated Vietnam War involvement.
Utah Territory	States, Territories, and Cities	Territory settled by Mormon migrants under Brigham Young; statehood delayed by the polygamy dispute until 1896.
Vicksburg campaign	Civil War and Reconstruction	1863 Union operation under Grant that captured the Mississippi River stronghold, splitting the Confederacy.
Waco, Texas	Contemporary America	Site of the 1993 deadly federal standoff with the Branch Davidian religious sect.
Walker Evans	The Depression, New Deal, and World War II	Farm Security Administration photographer whose stark Depression-era images documented rural poverty.
Wall Street bombing	The Progressive Era and World War I	1920 anarchist bombing on Wall Street that killed dozens, blamed on followers of Luigi Galleani.
