# The Ancient Near East & Middle East
> Mesopotamian cities and empires, Persian dynasties, Phoenician traders, and the rise of Islam across the Levant and Arabia.
Hittites | Bronze Age Anatolian empire, early adopters of iron and chariot warfare; rivaled Egypt at Kadesh.
Nineveh | Capital of the Assyrian Empire under Sennacherib; site of Ashurbanipal's famed library.
Ur | Sumerian city-state in Mesopotamia, traditional birthplace of Abraham, noted for its great ziggurat.
Babylon | Mesopotamian city on the Euphrates, capital under Hammurabi and Nebuchadnezzar II; legendary Hanging Gardens.
cuneiform | Wedge-shaped writing on clay tablets invented by the Sumerians, later used for Akkadian and Persian.
Turkey | Modern nation spanning Anatolia, successor to the Ottoman Empire, bridging Europe and Asia.
Cyrus the Great | Founder of the Achaemenid Persian Empire who conquered Babylon and freed the Jews from exile.
Afghanistan | Central Asian nation on the Silk Road, crossed by Alexander the Great and fought over by great powers.
Darius I | Achaemenid Persian king who expanded the empire, built Persepolis, and was defeated at Marathon.
Petra | Rock-cut Nabataean city in Jordan, wealthy from controlling incense and spice caravan routes.
Sassanid Empire | Last pre-Islamic Persian empire, rival of Byzantium, overthrown by Arab Muslim conquest in the 7th century.
satraps | Provincial governors of the Achaemenid Persian Empire who administered regions on the king's behalf.
Scythians | Nomadic Iranian horse-riding peoples of the Eurasian steppe, known for elaborate gold burial mounds.
Antiochus | Name borne by several Seleucid kings ruling the Hellenistic empire in Syria and Mesopotamia after Alexander.
Arabs | Semitic peoples of the Arabian Peninsula, unified by Islam and rapid 7th-century conquests.
Assyrian Empire | Mesopotamian empire known for military conquest, capital at Nineveh, fell in 612 BCE.
Byblos | Phoenician port city in modern Lebanon, source of the word "Bible" via its papyrus trade.
Catalhoyuk | Large Neolithic proto-city settlement in Anatolia, notable for dense mudbrick housing without streets.
Damascus | Ancient Syrian capital, one of the world's oldest continuously inhabited cities, capital of the Umayyad Caliphate.
Israel | Ancient and modern Levantine nation, kingdom of David and Solomon, reestablished as a state in 1948.
Jews | Semitic people originating in ancient Israel, dispersed in diaspora after the Roman conquest of Judea.
Mecca | Holiest city in Islam, birthplace of Muhammad and site of the annual Hajj pilgrimage.
Medes | Ancient Iranian people allied with Babylon to destroy Assyria, later absorbed into the Persian Empire.
Mitanni | Bronze Age Hurrian kingdom in northern Mesopotamia and Syria, rival of Egypt and the Hittites.
Muhammad | Founder and prophet of Islam, born in Mecca, who led the Hijra to Medina in 622.
Phoenicians | Seafaring Canaanite people from coastal Lebanon who founded Carthage and spread the alphabet.
Tyre | Phoenician port city famous for purple dye production and for founding Carthage as its colony.
Ugarit | Bronze Age Syrian city whose cuneiform alphabet tablets are among the earliest alphabetic writing.
Uruk | Sumerian city, one of the world's earliest cities, traditionally linked to the legendary King Gilgamesh.

# Ancient Egypt & the Nile
> Pharaohs, pyramids, and the Nile Valley civilization from unification under Narmer through Ptolemaic rule.
Egypt | Nile River civilization ruled by pharaohs for three millennia, famed for pyramids and mummification.
Alexandria | Egyptian port city founded by Alexander the Great, home to its famed ancient Library and Lighthouse.
Hatshepsut | Female pharaoh of the 18th Dynasty who ruled as king and sponsored an expedition to Punt.
Abydos | Ancient Egyptian religious center sacred to Osiris, site of early royal tombs and Seti I's temple.
Narmer | Early Egyptian king credited with unifying Upper and Lower Egypt around 3100 BCE, depicted on the Narmer Palette.
Nubia | Region south of Egypt along the Nile, home to the Kingdom of Kush, alternately conquered by and conquering Egypt.
Djoser | Third Dynasty pharaoh for whom Imhotep built the Step Pyramid at Saqqara, Egypt's first pyramid.
Land of Punt | Semi-legendary trading partner of ancient Egypt, likely in the Horn of Africa, visited by Hatshepsut's expedition.
Ptolemy | Macedonian general of Alexander who founded Egypt's Ptolemaic dynasty; name also borne by later Hellenistic pharaohs.

# Ancient Greece & the Aegean
> City-states, historians, and conquerors of the Greek world, from Sparta and Athens through Alexander's Macedonian empire.
Sparta | Militaristic Greek city-state ruled by dual kings, dependent on helot labor; led the Peloponnesian League.
helots | Enslaved serf class in Sparta, mostly conquered Messenians, who worked the land for Spartan citizens.
Thrace | Region north of the Aegean inhabited by Thracians, later a Roman province and birthplace of Spartacus.
Solon | Athenian lawgiver who reformed debt bondage and laid groundwork for Athenian democracy in the 6th century BCE.
Alexander the Great | Macedonian king who conquered the Persian Empire and reached India, founding numerous cities named Alexandria.
Corinth | Wealthy Greek city-state on the isthmus linking mainland Greece to the Peloponnese, destroyed by Rome in 146 BCE.
Halicarnassus | Anatolian Greek city, birthplace of Herodotus, site of the Mausoleum, one of the Seven Wonders.
Herodotus | Greek historian called the "Father of History," author of The Histories on the Greco-Persian Wars.
Battle of Salamis | Decisive 480 BCE naval battle where a Greek fleet defeated Persian forces under Xerxes.
hoplites | Heavily armed Greek infantry soldiers who fought in the close-formation phalanx.
Illyrians | Ancient peoples of the western Balkans, frequently at war with Macedon and later Rome.
Late Bronze Age collapse | Circa 1200 BCE societal collapse across the eastern Mediterranean, ending Mycenaean and Hittite civilizations.
Pergamon | Hellenistic Greek kingdom in Anatolia famed for its library and the Pergamon Altar.
Philip II of Macedon | King of Macedon who unified Greece under his rule and fathered Alexander the Great.
Rhodes | Greek island famed for the Colossus of Rhodes, one of the Seven Wonders of the Ancient World.
Troy | Legendary city in Anatolia besieged in the Trojan War, excavated by Heinrich Schliemann at Hisarlik.

# Ancient Rome & the Mediterranean
> Rome's rise from republic to empire, its provinces and rivals across the Mediterranean, and the historians who chronicled it.
Carthage | Phoenician-founded North African city-state that fought Rome in three Punic Wars; destroyed in 146 BCE.
Pliny the Elder | Roman naturalist, author of Natural History, who died observing the eruption of Vesuvius in 79 CE.
Boudica | Icenian queen who led a revolt against Roman rule in Britain around 60-61 CE, burning Londinium.
Hadrian | Roman emperor who built Hadrian's Wall in Britain and consolidated the empire's frontiers rather than expanding.
Hispania | Roman name for the Iberian Peninsula, contested in the Punic Wars and later fully annexed by Rome.
Nero | Roman emperor infamous for persecuting Christians and blamed for the Great Fire of Rome in 64 CE.
Sardinia | Mediterranean island contested by Carthage and Rome, becoming a Roman province after the First Punic War.
Sicily | Mediterranean island fought over by Carthage and Rome in the First Punic War, later a Roman province.
Britannia | Roman name and personification for the province of Britain, conquered under Emperor Claudius.
Constantine the Great | Roman emperor who legalized Christianity and founded Constantinople as the new capital in 330 CE.
Etruscans | Pre-Roman civilization of central Italy whose culture and rulers heavily influenced early Rome.
Gaius Julius Caesar | Roman general and dictator who conquered Gaul and crossed the Rubicon, triggering civil war.
Gaius Marius | Roman general and statesman who reformed the army into a professional force; rival of Sulla.
Gaul | Region covering modern France and Belgium, conquered by Julius Caesar in the Gallic Wars.
Germania | Roman name for lands east of the Rhine inhabited by Germanic tribes, never fully conquered.
Mithridates | King of Pontus who fought three wars against Rome, reputedly immune to poison.
Rome | Italian city-state that grew into an empire spanning the Mediterranean, from Republic to fall in 476 CE.
Severan dynasty | Roman imperial dynasty founded by Septimius Severus, a North African-born emperor, in 193 CE.
Tacitus | Roman senator and historian who wrote the Annals and Germania, chronicling early emperors and Germanic tribes.
